Nama,Harga,Lokasi,Jumlah Kamar Tidur,Jumlah Kamar Mandi,Jumlah Carport,Luas Tanah,Luas Bangunan
Rumah Siap Huni Banyumanik - DP 0% Free All In,Rp 585 Juta,"Banyumanik, Semarang",2,2,1,LT : 86 m²,LB : 69 m²
Rumah di Jl. Taman Seteran (Vn0201),Rp 2 Miliar,"Semarang Tengah, Semarang",3,1,0,LT : 100 m²,LB : 100 m²
Rumah di Daerah Semarang Tengah ( Ln 8290 ),"Rp 2,1 Miliar","Semarang Tengah, Semarang",10,3,0,LT : 116 m²,LB : 300 m²
"Rumah Perum Permata Puri Ngaliyan , Semarang ( De 7492)","Rp 3,8 Miliar","Ngaliyan, Semarang",4,4,4,LT : 199 m²,LB : 400 m²
"Rumah di Perum Pratama Green Residence , Ngaliyan Semarang ( Vn 8292 )",Rp 385 Juta,"Ngaliyan, Semarang",2,1,0,LT : 84 m²,LB : 84 m²
"Rumah di Perum Griya Lestari Ngaliyan , Semarang ( Me 8021 )",Rp 975 Juta,"Ngaliyan, Semarang",6,4,1,LT : 72 m²,LB : 235 m²
"Rumah di Perum Graha Beringin Mas , Ngaliyan Semarang ( De 7468 )",Rp 450 Juta,"Ngaliyan, Semarang",2,2,0,LT : 96 m²,LB : 96 m²
Rumah Ready Stok Di Greenwich Candi Golf Hook Nempel Clubhouse,"Rp 6,2 Miliar","Candi Golf, Semarang",4,4,2,LT : 226 m²,LB : 257 m²
"Siap Huni, Rumah, 1 Lantai, SHM, Dekat Pusat Perbelanjaan, Bebas Banjir",Rp 5 Miliar,"Semarang Tengah, Semarang",4,3,2,LT : 386 m²,LB : 300 m²
"Rumah, 1 Lantai, SHM, di Semarang Timur","Rp 1,2 Miliar","Semarang Timur, Semarang",3,2,2,LT : 192 m²,LB : 150 m²
"Rumah Murah Aset Bsi di Semarang, Jawa Tengah","Rp 5,71 Miliar","Tembalang, Semarang",0,0,0,LT : 646 m²,LB : 221 m²
"Rumah Bagus Siap Huni di Graha Mukti Residence, Lokasi Strategis, Jual Segera",Rp 795 Juta,"Pedurungan, Semarang",2,1,1,LT : 103 m²,LB : 87 m²
Tempat Usaha dan Rumah Tengah Kota di Ki Mangunsarkoro Brumbungan Semarang Tengah,"Rp 7,5 Miliar","Semarang Tengah, Semarang",4,4,3,LT : 375 m²,LB : 600 m²
Rumah 2 Kamar Mulai 300jt An Kpr Dp 5jt All In Di Perumahan Taman Kayangan Boja,Rp 399 Juta,"BSB City, Semarang",2,1,1,LT : 60 m²,LB : 32 m²
"Rumah di Ariloka , Semarang Ln 7026","Rp 2,5 Miliar","Semarang Barat, Semarang",3,1,0,LT : 250 m²,LB : 300 m²
"Rumah di Aurora Terrace Bsb Village , Semarang ( Ls 7993 )",Rp 780 Juta,"BSB City, Semarang",2,1,0,LT : 135 m²,LB : 52 m²
Rumah Baru Tlaga Bodas Gajahmungkur Sudah Termasuk Pajak dan Biaya2,"Rp 2,1 Miliar","Tlaga Bodas, Semarang",4,3,1,LT : 105 m²,LB : 135 m²
Murah Pake Banget Rumah Dr. Wahidin Loh! 50 Persen di Bawah NJOP!,"Rp 2,5 Miliar","Semarang Selatan, Semarang",1,1,1,LT : 202 m²,LB : 50 m²
